question,answer,source,focus_area,category,is_relevant
What causes Hypothyroidism ?,"Hypothyroidism has several causes, including
                
- Hashimotos disease  - thyroiditis, or inflammation of the thyroid  - congenital hypothyroidism, or hypothyroidism that is present at birth  - surgical removal of part or all of the thyroid  - radiation treatment of the thyroid  - some medications
                
Less commonly, hypothyroidism is caused by too much or too little iodine in the diet or by abnormalities of the pituitary gland.
                
Hashimotos Disease
                
Hashimotos disease, also called chronic lymphocytic thyroiditis, is the most common cause of hypothyroidism in the United States.1 Hashimotos disease is a form of chronic inflammation of the thyroid gland. Hashimotos disease is also an autoimmune disorder.
                
Normally, the immune system protects the body against foreign invaderssuch as viruses and bacteriathat can cause illness. But in autoimmune diseases, the immune system attacks the bodys own cells and organs. With Hashimotos disease, the immune system attacks the thyroid, causing inflammation and interfering with its ability to produce thyroid hormones.
                
More information is provided in the NIDDK health topic, Hashimotos Disease.
                
Thyroiditis
                
Thyroiditis causes stored thyroid hormone to leak out of the thyroid gland. At first, the leakage raises hormone levels in the blood, leading to hyperthyroidismwhen thyroid hormone levels are too highthat lasts for 1 or 2 months. Most people then develop hypothyroidism before the thyroid is completely healed.
                
Several types of thyroiditis can cause hyperthyroidism followed by hypothyroidism:
                
- Subacute thyroiditis. This condition involves painful inflammation and enlargement of the thyroid. Experts are not sure what causes subacute thyroiditis, but it may be related to a viral or bacterial infection. The condition usually goes away on its own in a few months.  - Postpartum thyroiditis. This type of thyroiditis develops after a woman gives birth. For more information, see the section titled What happens with pregnancy and thyroid conditions?  - Silent thyroiditis. This type of thyroiditis is called silent because it is painless, as is postpartum thyroiditis, even though the thyroid may be enlarged. Like postpartum thyroiditis, silent thyroiditis is probably an autoimmune condition and sometimes develops into permanent hypothyroidism.
                
Congenital Hypothyroidism
                
Some babies are born with a thyroid that is not fully developed or does not function properly. If untreated, congenital hypothyroidism can lead to mental retardation and growth failure. Early treatment can prevent these complications, so most newborns in the United States are screened for hypothyroidism.
                
Surgical Removal of the Thyroid
                
When part of the thyroid is removed, the remaining part may produce normal amounts of thyroid hormone, but some people who have this surgery develop hypothyroidism. Removal of the entire thyroid always results in hypothyroidism.
                
Part or all of the thyroid may be surgically removed as a treatment for
                
- hyperthyroidism  - a large goiter, which is an enlarged thyroid that may cause the neck to appear swollen and can interfere with normal breathing and swallowing  - thyroid nodules, which are noncancerous tumors, called adenomas, or lumps in the thyroid that can produce excess thyroid hormone  - thyroid cancer
                
Radiation Treatment of the Thyroid
                
Radioactive iodine, a common treatment for hyperthyroidism, gradually destroys the cells of the thyroid. Most people who receive radioactive iodine treatment eventually develop hypothyroidism. People with Hodgkins disease, other lymphomas, and head or neck cancers are treated with radiation, which can also damage the thyroid.
                
Medications
                
Some drugs can interfere with thyroid hormone production and lead to hypothyroidism, including
                
- amiodarone, a heart medication  - interferon alpha, a cancer medication  - lithium, a bipolar disorder medication  - interleukin-2, a kidney cancer medication",NIDDK,Hypothyroidism,Endocrine/Metabolic,True
what research (or clinical trials) is being done for Osteoporosis ?,"Scientists are pursuing a wide range of basic and clinical studies on osteoporosis. Significant advances in preventing and treating osteoporosis continue to be made. Such advances are the direct result of research focused on -  determining the causes and consequences of bone loss at the cellular and tissue levels  - assessing risk factors  - developing new strategies to maintain and even enhance bone density and reduce fracture risk  - exploring the roles of such factors as genetics, hormones, calcium, vitamin D, drugs, and exercise on bone mass. determining the causes and consequences of bone loss at the cellular and tissue levels assessing risk factors developing new strategies to maintain and even enhance bone density and reduce fracture risk exploring the roles of such factors as genetics, hormones, calcium, vitamin D, drugs, and exercise on bone mass.  Get more information about ongoing research on osteoporosis from the National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS) at NIH.",NIHSeniorHealth,Osteoporosis,Musculoskeletal,True
Who is at risk for Lung Cancer? ?,"Different factors increase or decrease the risk of lung cancer.
                    		Anything that increases your chance of getting a disease is called a risk factor. Anything that decreases your chance of getting a disease is called a protective factor.   For information about risk factors and protective factors for lung cancer, see the PDQ summary on Lung Cancer Prevention.
        				
        				
		                    Key Points
		                    - Screening tests have risks.    - The risks of lung cancer screening tests include the following:          - Finding lung cancer may not improve health or help you live longer.     - False-negative test results can occur.     - False-positive test results can occur.     - Chest x-rays and low-dose spiral CT scans expose the chest to radiation.     -  Talk to your doctor about your risk for lung cancer and your need for screening tests.
		                
		                
		                    Screening tests have risks.
		                    Decisions about screening tests can be difficult. Not all screening tests are helpful and most have risks. Before having any screening test, you may want to discuss the test with your doctor. It is important to know the risks of the test and whether it has been proven to reduce the risk of dying from cancer.
		                
		                
		                    The risks of lung cancer screening tests include the following:
		                    Finding lung cancer may not improve health or help you live longer.    Screening may not improve your health or help you live longer if you have lung cancer that has already spread to other places in your body.     When a screening test result leads to the diagnosis and treatment of a disease that may never have caused symptoms or become life-threatening, it is called overdiagnosis. It is not known if treatment of these cancers would help you live longer than if no treatment were given, and treatments for cancer may have serious side effects. Harms of treatment may happen more often in people who have medical problems caused by heavy or long-term smoking.       False-negative test results can occur.    Screening test results may appear to be normal even though lung cancer is present. A person who receives a false-negative test result (one that shows there is no cancer when there really is) may delay seeking medical care even if there are symptoms.       False-positive test results can occur.    Screening test results may appear to be abnormal even though no cancer is present. A false-positive test result (one that shows there is cancer when there really isn't) can cause anxiety and is usually followed by more tests (such as biopsy), which also have risks. A biopsy to diagnose lung cancer can cause part of the lung to collapse. Sometimes surgery is needed to reinflate the lung. Harms of diagnostic tests may happen more often in patients who have medical problems caused by heavy or long-term smoking.        Chest x-rays and low-dose spiral CT scans expose the chest to radiation.     Radiation exposure from chest x-rays and low-dose spiral CT scans may increase the risk of cancer. Younger people and people at low risk for lung cancer are more likely to develop lung cancer caused by radiation exposure. .        Talk to your doctor about your risk for lung cancer and your need for screening tests.    Talk to your doctor or other health care provider about your risk for lung cancer, whether a screening test is right for you, and about the benefits and harms of the screening test. You should take part in the decision about whether a screening test is right for you. (See the PDQ summary on Cancer Screening Overview for more information.)",CancerGov,Lung Cancer,Respiratory,True
What is (are) Urinary Tract Infections in Children ?,"The urinary tract is the bodys drainage system for removing wastes and extra water. The urinary tract includes two kidneys, two ureters, a bladder, and a urethra. The kidneys are a pair of bean-shaped organs, each about the size of a fist and located below the ribs, one on each side of the spine, toward the middle of the back. Every minute, a persons kidneys filter about 3 ounces of blood, removing wastes and extra water. The wastes and extra water make up the 1 to 2 quarts of urine an adult produces each day. Children produce less urine each day; the amount produced depends on their age. The urine travels from the kidneys down two narrow tubes called the ureters. The urine is then stored in a balloonlike organ called the bladder. Routinely, urine drains in only one directionfrom the kidneys to the bladder. The bladder fills with urine until it is full enough to signal the need to urinate. In children, the bladder can hold about 2 ounces of urine plus 1 ounce for each year of age. For example, an 8-year-olds bladder can hold about 10 ounces of urine.
                
When the bladder empties, a muscle called the sphincter relaxes and urine flows out of the body through a tube called the urethra at the bottom of the bladder. The opening of the urethra is at the end of the penis in boys and in front of the vagina in girls.",NIDDK,Urinary Tract Infections in Children,Kidney/Renal,True
How to diagnose Pulmonary Embolism ?,"Pulmonary embolism (PE) is diagnosed based on your medical history, a physical exam, and test results.
                
Doctors who treat patients in the emergency room often are the ones to diagnose PE with the help of a radiologist. A radiologist is a doctor who deals with x rays and other similar tests.
                
Medical History and Physical Exam
                
To diagnose PE, the doctor will ask about your medical history. He or she will want to: 
                
Find out your deep vein thrombosis (DVT) and PE risk factors
                
See how likely it is that you could have PE
                
Rule out other possible causes for your symptoms
                
Your doctor also will do a physical exam. During the exam, he or she will check your legs for signs of DVT. He or she also will check your blood pressure and your heart and lungs.
                
Diagnostic Tests
                
Many tests can help diagnose PE. Which tests you have will depend on how you feel when you get to the hospital, your risk factors, available testing options, and other conditions you could possibly have. You may have one or more of the following tests.
                
Ultrasound
                
Doctors can use ultrasound to look for blood clots in your legs. Ultrasound uses sound waves to check blood flow in your veins.
                
For this test, gel is put on the skin of your legs. A hand-held device called a transducer is moved back and forth over the affected areas. The transducer gives off ultrasound waves and detects their echoes as they bounce off the vein walls and blood cells.
                
A computer turns the echoes into a picture on a computer screen, allowing the doctor to see blood flow in your legs. If the doctor finds blood clots in the deep veins of your legs, he or she will recommend treatment.
                
DVT and PE both are treated with the same medicines.
                
Computed Tomography Scans
                
Doctors can use computed tomography (to-MOG-rah-fee) scans, or CT scans, to look for blood clots in the lungs and legs.
                
For this test, dye is injected into a vein in your arm. The dye makes the blood vessels in your lungs and legs show up on x-ray images. You'll lie on a table, and an x-ray tube will rotate around you. The tube will take pictures from many angles.
                
This test allows doctors to detect most cases of PE. The test only takes a few minutes. Results are available shortly after the scan is done.
                
Lung Ventilation/Perfusion Scan
                
A lung ventilation/perfusion scan, or VQ scan, uses a radioactive substance to show how well oxygen and blood are flowing to all areas of your lungs. This test can help detect PE.
                
Pulmonary Angiography
                
Pulmonary angiography (an-jee-OG-rah-fee) is another test used to diagnose PE. This test isn't available at all hospitals, and a trained specialist must do the test.
                
For this test, a flexible tube called a catheter is threaded through the groin (upper thigh) or arm to the blood vessels in the lungs. Dye is injected into the blood vessels through the catheter.
                
X-ray pictures are taken to show blood flowing through the blood vessels in the lungs. If a blood clot is found, your doctor may use the catheter to remove it or deliver medicine to dissolve it.
                
Blood Tests
                
Certain blood tests may help your doctor find out whether you're likely to have PE.
                
A D-dimer test measures a substance in the blood that's released when a blood clot breaks down. High levels of the substance may mean a clot is present. If your test is normal and you have few risk factors, PE isn't likely.
                
Other blood tests check for inherited disorders that cause blood clots. Blood tests also can measure the amount of oxygen and carbon dioxide in your blood. A clot in a blood vessel in your lungs may lower the level of oxygen in your blood.
                
Other Tests
                
To rule out other possible causes of your symptoms, your doctor may use one or more of the following tests.
                
Echocardiography (echo). This test uses sound waves to create a moving picture of your heart. Doctors use echo to check heart function and detect blood clots inside the heart.
                
EKG (electrocardiogram). An EKG is a simple, painless test that detects and records the heart's electrical activity.
                
Chest x ray. This test creates pictures of your lungs, heart, large arteries, ribs, and diaphragm (the muscle below your lungs).
                
Chest MRI (magnetic resonance imaging). This test uses radio waves and magnetic fields to create pictures of organs and structures inside the body. MRI often can provide more information than an x ray.",NHLBI,Pulmonary Embolism,Cardiovascular,True
What is (are) Lung Cancer ?,"A person who has had lung cancer once is more likely to develop a second lung cancer compared to a person who has never had lung cancer. Second cancers arise in a different site than the original cancer. If the original cancer returns after treatment, it is considered recurrent, not a second cancer. Quitting smoking after lung cancer is diagnosed may prevent the development of a second lung cancer.",NIHSeniorHealth,Lung Cancer,Respiratory,True
What is (are) Kidney Disease ?,"What the Kidneys Do You have two kidneys. They are bean-shaped and about the size of a fist. They are located in the middle of your back, on the left and right of your spine, just below your rib cage. The kidneys filter your blood, removing wastes and extra water to make urine. They also help control blood pressure and make hormones that your body needs to stay healthy. When the kidneys are damaged, wastes can build up in the body. Kidney Function and Aging Kidney function may be reduced with aging. As the kidneys age, the number of filtering units in the kidney may decrease, the overall amount of kidney tissue may decrease, and the blood vessels that supply the kidney may harden, causing the kidneys to filter blood more slowly. If your kidneys begin to filter less well as you age, you may be more likely to have complications from certain medicines. There may be an unsafe buildup of medicines that are removed from your blood by your kidneys. Also, your kidneys may be more sensitive to certain medicines. For example, nonsteroidal anti-inflammatory drugs (NSAIDs) and some antibiotics may harm your kidneys in some situations. The next time you pick up a prescription or buy an over-the-counter medicine or supplement, ask your pharmacist how the product may affect your kidneys and interact with your other medicines. (Watch the video to learn more about what the kidneys do. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.) Learn more about how the kidneys work.  How Kidney Disease Occurs Kidney disease means the kidneys are damaged and can no longer remove wastes and extra water from the blood as they should. Kidney disease is most often caused by diabetes or high blood pressure. According to the Centers for Disease Control and Prevention, more than 20 million Americans may have kidney disease. Many more are at risk. The main risk factors for developing kidney disease are - diabetes   - high blood pressure   - cardiovascular (heart and blood vessel) disease   - a family history of kidney failure. diabetes high blood pressure cardiovascular (heart and blood vessel) disease a family history of kidney failure. Each kidney contains about one million tiny filtering units made up of blood vessels. These filters are called glomeruli. Diabetes and high blood pressure damage these blood vessels, so the kidneys are not able to filter the blood as well as they used to. Usually this damage happens slowly, over many years. This is called chronic kidney disease. As more and more filtering units are damaged, the kidneys eventually are unable to maintain health. Early kidney disease usually has no symptoms, which means you will not feel different. Blood and urine tests are the only way to check for kidney damage or measure kidney function. If you have diabetes, high blood pressure, heart disease, or a family history of kidney failure, you should be tested for kidney disease. Kidney Failure  Kidney disease can get worse over time, and may lead to kidney failure. Kidney failure means very advanced kidney damage with less than 15% normal function. End-stage renal disease (ESRD) is kidney failure treated by dialysis or kidney transplant. If the kidneys fail, treatment options such as dialysis or a kidney transplant can help replace kidney function. Some patients choose not to treat kidney failure with dialysis or a transplant. If your kidneys fail, talk with your health care provider about choosing a treatment that is right for you. (Watch the video to learn more about how kidney disease progresses. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.)",NIHSeniorHealth,Kidney Disease,Kidney/Renal,True
Is Breast Cancer inherited ?,"Breast cancer is sometimes caused by inherited gene mutations (changes). The genes in cells carry the hereditary information that is received from a persons parents. Hereditary breast cancer makes up about 5% to 10% of all breast cancer. Some mutated genes related to breast cancer are more common in certain ethnic groups.   Women who have certain gene mutations, such as a BRCA1 or BRCA2 mutation, have an increased risk of breast cancer. These women also have an increased risk of ovarian cancer, and may have an increased risk of other cancers. Men who have a mutated gene related to breast cancer also have an increased risk of breast cancer. For more information, see the PDQ summary on Male Breast Cancer Treatment.   There are tests that can detect (find) mutated genes. These genetic tests are sometimes done for members of families with a high risk of cancer. See the PDQ summary on Genetics of Breast and Gynecologic Cancers for more information.",CancerGov,Breast Cancer,Unrelated,False
What is (are) Gallstones ?,"People who think they have had a gallbladder attack should notify their health care provider. Although these attacks usually resolve as gallstones move, complications can develop if the bile ducts remain blocked.
                
People with any of the following symptoms during or after a gallbladder attack should see a health care provider immediately:
                
- abdominal pain lasting more than 5 hours   - nausea and vomiting   - fevereven a low-grade feveror chills  - yellowish color of the skin or whites of the eyes, called jaundice   - tea-colored urine and light-colored stools
                
These symptoms may be signs of serious infection or infl ammation of the gallbladder, liver, or pancreas.",NIDDK,Gallstones,Gastrointestinal,True
What is (are) Wilson Disease ?,"Wilson disease is a genetic disease that prevents the body from removing extra copper. The body needs a small amount of copper from food to stay healthy; however, too much copper is poisonous. Normally, the liver filters extra copper and releases it into bile. Bile is a fluid made by the liver that carries toxins and wastes out of the body through the gastrointestinal tract. In Wilson disease, the liver does not filter copper correctly and copper builds up in the liver, brain, eyes, and other organs. Over time, high copper levels can cause life-threatening organ damage.",NIDDK,Wilson Disease,Endocrine/Metabolic,True
