avg_q_to_ctx_similarity,max_q_to_ctx_similarity,avg_gt_to_ctx_similarity,max_gt_to_ctx_similarity,retrieval_diversity,ndcg@k,context_relevance,context_coverage,semantic_similarity,answer_question_relevance,answer_length,length_ratio,key_term_coverage,faithfulness_score,min_sentence_support,unsupported_sentences,is_relevant,should_answer,correct_abstention,incorrect_abstention,hallucination,question,category,generated_answer
0.7058329780896505,0.7596172094345093,0.6989986896514893,0.7780253887176514,0.2604300181070963,0.9960187661276857,1.0,0.7780253887176514,0.814044713973999,0.8254727721214294,15,0.025996533795493933,0.12,0.5056474506855011,0.2736057639122009,1,1,1,0,0,0,What causes Hypothyroidism ?,Endocrine/Metabolic,Autoimmune disease. The most common cause of hypothyroidism is an autoimmune disease called Hashimoto's disease.
0.5153392950693766,0.5428909063339233,0.6006145477294922,0.6739618182182312,0.4113415082295736,0.9377778517583688,1.0,0.6739618182182312,0.6437312960624695,0.7580659985542297,144,0.9113924050632911,0.2972972972972973,0.24317694556984035,-0.08170077204704285,8,1,1,0,0,0,what research (or clinical trials) is being done for Osteoporosis ?,Musculoskeletal,"There are several ongoing clinical trials related to osteoporosis:

1. ""Bone Health Study"": This study aims to investigate the impact of lifestyle factors, including physical activity, dietary intake, and bone density, on osteoporosis prevention and treatment outcomes among older adults. It is conducted by the National Institute on Aging (NIA) and involves multiple participating centers across the United States.

2. ""OSTEOPORTROPS-4"": This is a randomized controlled trial evaluating the effects of bisphosphonates, which are drugs used to treat osteoporosis, on fracture rates compared to placebo in postmenopausal women. The trial includes nearly 2,000 participants.

3. ""The FRAX Study"": FRAX is a clinical trial examining the effectiveness of different osteoporosis treatments. Participants undergo assessments to determine the risk of fractures and receive different types of medication based on their results. Over time, they are assessed again for changes in their risk scores and outcomes.

These"
0.6405911445617676,0.66131591796875,0.6035004059473673,0.6793837547302246,0.3904594381650289,0.9983022255330944,1.0,0.6793837547302246,0.6372007131576538,0.6259674429893494,42,0.07253886010362694,0.1,0.6322287718454996,0.6297280192375183,0,1,1,0,0,0,Who is at risk for Lung Cancer? ?,Respiratory,"People who smoke have the greatest risk of lung cancer. The risk of lung cancer increases with the length of time and number of cigarettes smoked. Quitting smoking, even after smoking for many years, significantly lowers the chances of developing lung cancer."
0.6260726451873779,0.6507173776626587,0.46223758657773334,0.5074807405471802,0.18864707152048743,1.0,0.3333333333333333,0.5074807405471802,0.386155366897583,0.6863546371459961,136,0.5596707818930041,0.15625,0.36297782734036443,-0.052067141979932785,7,1,1,0,0,0,What is (are) Urinary Tract Infections in Children ?,Kidney/Renal,"Urinary Tract Infections (UTIs) in children can occur due to several factors:

1. **Bacterial Infections**: The most common cause of UTIs in children is bacterial infection. Bacteria like Escherichia coli (E. coli), Streptococcus pneumoniae, and Staphylococcus aureus are typically responsible for these infections. These bacteria can be passed from the intestines via fecal-oral transmission.

2. **Ingestion of Certain Foods**: Consuming certain foods like spicy foods, dairy products, or fruits high in acid content can lead to UTIs in children. These foods can irritate the lining of the urinary tract and promote the growth of harmful bacteria.

3. **Vaginal Tract Infections**: Vaginitis, which is inflammation of the vagina, can also spread to the urinary tract. This can result in UTIs, especially in young girls who have not yet developed the immune response to fight off vaginal infections"
0.6479026476542155,0.6634538173675537,0.557140568892161,0.5854186415672302,0.3336171507835388,1.0,1.0,0.5854186415672302,0.7750353813171387,0.7769452333450317,129,0.1690694626474443,0.46,0.3014312336842219,-0.1758444905281067,6,1,1,0,0,0,How to diagnose Pulmonary Embolism ?,Cardiovascular,"To diagnose pulmonary embolism, healthcare providers use several tests including:

1. Clinical history: Healthcare providers will ask about any recent travel history, smoking habits, and risk factors for pulmonary embolism such as prolonged卧位或久坐不动、长期使用某些药物（如口服避孕药、抗凝血药）、妊娠和慢性肺部疾病等。

2. Physical examination: This involves assessing your overall health, looking for signs of pulmonary embolism, and checking for any changes in breathing patterns.

3. Imaging studies: Chest X-rays and CT scans are commonly used to visualize lung structures, assess blood flow, and look for signs of pulmonary embolism. More advanced imaging techniques like computed tomography angiography (CTA) may provide better visualization of the lungs and the blood vessels within them.

4. Blood tests: Blood tests can check for signs of clotting disorders that could cause pulmonary embolism. Hematocrit levels are typically checked, as they can rise"
0.6701315442721049,0.73816978931427,0.5643978814284006,0.6276489496231079,0.2583072781562805,1.0,0.6666666666666666,0.6276489496231079,0.6056438684463501,0.7655835747718811,147,2.130434782608696,0.2,0.48103753281757233,0.012018675915896893,4,1,1,0,0,0,What is (are) Lung Cancer ?,Respiratory,"Lung cancer is a disease characterized by the growth of abnormal cells in the lungs. It is the leading cause of cancer deaths worldwide, affecting millions of individuals annually. 

The two main categories of lung cancer are:

1. Small Cell Lung Cancer: This subtype of lung cancer occurs primarily in smokers who have smoked for a long time and has a high mortality rate.

2. Non-Small Cell Lung Cancer: Also known as squamous cell carcinoma, adenocarcinoma, and large cell carcinoma, it encompasses various subtypes and accounts for a larger portion of lung cancer cases.

Treatment options vary depending on the type and stage of lung cancer. Common treatments include surgery, radiation therapy, chemotherapy, targeted therapies, immunotherapy, and sometimes palliative care.

Doctors typically refer to specific departments within Mayo Clinic for diagnosis and management of lung cancer. These departments include Pulmonary Medicine, Thoracic Surgery, Hematology/Oncology, and Medical Oncology."
0.6754080851872762,0.6971146464347839,0.5287636717160543,0.5756680965423584,0.23418597380320227,0.9924939010916214,0.6666666666666666,0.5756680965423584,0.4780403673648834,0.690232515335083,138,0.21904761904761905,0.32653061224489793,0.3629048525666197,-0.055548395961523056,6,1,1,0,0,0,What is (are) Kidney Disease ?,Kidney/Renal,"Kidney disease can be categorized under different categories depending on its severity and underlying causes. Here are a few common types:

1. **Chronic Kidney Disease (CKD)**: This refers to a gradual loss of kidney function that occurs over time due to various factors like diabetes, hypertension, and glomerular disease. CKD stages range from 1 to 5, with Stage 3 being considered moderate.

2. **Focal Segmental Glomerulosclerosis (FSGS)**: An abnormality within the glomerulus (the area of the kidney responsible for filtering blood). It typically leads to impaired filtration and increased proteinuria.

3. **Nephrotic Syndrome**: This is a term used interchangeably with nephritic syndrome, referring to the collection of symptoms related to kidney failure. It involves high levels of protein in the urine due to damage to the glomeruli, causing edema and difficulty in blood filtration.

4. **Polycystic Kidney Disease"
0.3981840709845225,0.42762652039527893,0.50569416085879,0.5439066886901855,0.5039754410584767,1.0,0.6666666666666666,0.5439066886901855,0.632614254951477,0.6475605964660645,41,0.25625,0.0975609756097561,0.4512980580329895,0.39471134543418884,2,0,1,0,0,1,Is Breast Cancer inherited ?,Unrelated,"Yes, breast cancer runs in families. This means that having a blood relative who has breast cancer increases the risk of getting breast cancer. Having more than one family member who has breast cancer or rectal cancer increases the risk more."
0.6934962471326193,0.7228115200996399,0.5620386203130087,0.7576795816421509,0.283937950929006,0.8949986436887677,0.3333333333333333,0.7576795816421509,0.6526474952697754,0.6841898560523987,122,1.150943396226415,0.2692307692307692,0.4898351388318198,0.3303982615470886,4,1,1,0,0,0,What is (are) Gallstones ?,Gastrointestinal,"Gallstones are hard, solid deposits that build up in the gallbladder. They can form in this organ because bile has not been properly removed by the liver. Bile helps break down fats in food, but it builds up over time when the liver does not clear it completely. This buildup can cause problems like inflammation and blockage of the gallbladder duct, leading to pain and discomfort. Gallstones are typically diagnosed through imaging tests like ultrasound or CT scan, which may also show other issues related to gallbladder function. Treatment options include medications, lifestyle changes, and sometimes surgery, depending on the severity and location of the stones. If left untreated, gallstones can lead to complications like infection, bile duct obstruction, and liver damage."
0.440373957157135,0.44881659746170044,0.34900089104970294,0.3906249403953552,0.6776079138120015,0.956046613707911,0.0,0.3906249403953552,0.8536258935928345,0.7796857357025146,87,0.8969072164948454,0.28,0.27324099590380985,0.1510370969772339,6,1,1,0,0,0,What is (are) Wilson Disease ?,Endocrine/Metabolic,"Wilson Disease is a hereditary disorder characterized by the accumulation of copper in various organs such as the liver, kidneys, brain, and skin. It is caused by mutations in the ATP7B gene on chromosome 16. The excess copper damages cells and tissues, leading to various clinical manifestations. The main symptom of Wilson Disease is jaundice, which is due to an increase in bilirubin levels. Other signs include mental retardation, seizures, liver cirrhosis, kidney stones, and neurological disorders. Treatment involves controlling copper levels through dietary modifications and medications."
0.7089817126592001,0.7349662780761719,0.778359035650889,0.8890565633773804,0.2356777389844259,0.9667857496736568,1.0,0.8890565633773804,0.8114851117134094,0.7009515762329102,97,0.46411483253588515,0.43902439024390244,0.6393010139465332,0.5423282980918884,0,1,1,0,0,0,What causes Cystic Fibrosis ?,Respiratory,"In cystic fibrosis, a change in a gene causes problems with the protein that controls the movement of salt and water in and out of cells. This gene is the cystic fibrosis transmembrane conductance regulator (CFTR) gene. It affects the cells that make mucus, sweat and digestive juices. When the CFTR protein doesn't work as it should, the result is thick, sticky mucus in the respiratory, digestive and reproductive systems, as well as extra salt in sweat. Changes in the CFTR gene that cause CF are divided into several different groups based on the problems they cause."
0.48340009649594623,0.48657867312431335,0.5371224681536356,0.6309636235237122,0.36220377683639526,0.9404204142882424,0.6666666666666666,0.6309636235237122,0.7796740531921387,0.6875776052474976,157,0.8092783505154639,0.4666666666666667,0.14456612166638175,-0.054336655884981155,12,1,1,0,0,0,what research (or clinical trials) is being done for Epilepsy ?,Neurological,"As of my last update in 2023, ongoing research is focused on identifying new treatments and therapies for epilepsy, especially for patients who do not respond well to current medications. Some recent studies include:

1. **Brain Imaging**: Scientists are exploring how imaging techniques like fMRI (functional magnetic resonance imaging) can reveal differences in brain activity associated with different forms of epilepsy.

2. **Neurotransmitter Targets**: There is interest in exploring whether drugs targeting neurotransmitters like serotonin, dopamine, or GABA might offer better outcomes compared to current treatments.

3. **Preclinical Models**: The development of animal models that closely mimic human epilepsy is crucial for understanding disease mechanisms and translating discoveries into clinical applications.

4. **Genetic Studies**: Progress is being made in identifying genetic mutations responsible for certain forms of epilepsy, which could potentially lead to targeted gene therapy options.

5. **Translational Neuroscience**: Researchers are trying to develop better ways to translate lab findings into improved treatments for humans. For"
0.5378802220026652,0.5632279515266418,0.4822532534599304,0.512641429901123,0.31237345933914185,0.9904135692568149,0.6666666666666666,0.512641429901123,0.7567376494407654,0.7406491041183472,155,0.1944792973651192,0.3673469387755102,0.2671510169113224,-0.044129423797130585,9,1,1,0,0,0,How to diagnose Urinary Tract Infections in Children ?,Kidney/Renal,"Urinary Tract Infections (UTIs) in children are typically diagnosed based on symptoms and laboratory tests. Here’s how:

1. **Symptoms**: Common symptoms include frequent urination, urgency to urinate, and cloudy urine that might look like dark coffee or tomato sauce.

2. **Laboratory Tests**:
   - **Blood Test**: Blood tests can measure levels of specific proteins in the urine. These can indicate whether there was bleeding during the infection or signs of inflammation.
   - **Urine Culture**: A sample of urine is taken and analyzed under a microscope to check for signs of infection. This test helps identify the exact type of bacteria causing the infection.
   - **Ultrasound Scan**: An ultrasound scan can help doctors visualize the urinary tract, including the kidneys and bladder, and determine whether they are affected by an infection.

3. **Other Diagnostic Tools**: In some cases, imaging techniques such as CT scans or MRI may be used to further assess the extent of infection or"
0.6452865203221639,0.6849287748336792,0.6878325343132019,0.78537917137146,0.3240302006403605,0.9873877134707849,1.0,0.78537917137146,0.5736228227615356,0.4703525900840759,31,0.10954063604240283,0.34782608695652173,0.5803258419036865,0.5803258419036865,0,1,1,0,0,0,Who is at risk for Heart Attack? ?,Cardiovascular,"Age, tobacco use, high blood pressure, high cholesterol or triglycerides, obesity, diabetes, metabolic syndrome, family history of heart attacks, not enough exercise, unhealthy diet, stress, illegal drug use, preeclampsia, autoimmune condition."
